Pertanyaan,Tipe Soal,Kategori / Aspek
"Nama Lengkap",Short Answer,"Identitas"
"Jabatan / Peran di Lab Komputer",Multiple Choice,"Identitas"
"P1. Tampilan antarmuka sistem web terlihat rapi, bersih, dan modern.",Linear Scale 1-5,"Tampilan Antarmuka (UI/UX)"
"P2. Tata letak menu navigasi, ikon, dan perpaduan warna nyaman dilihat.",Linear Scale 1-5,"Tampilan Antarmuka (UI/UX)"
"P3. Desain tombol dan opsi pilihan gejala terlihat jelas serta tidak membingungkan.",Linear Scale 1-5,"Tampilan Antarmuka (UI/UX)"
"P4. Tampilan respon pada fitur Chatbot Diagnosa tersaji secara rapi dan menarik.",Linear Scale 1-5,"Tampilan Antarmuka (UI/UX)"
"P5. Tampilan badge status kategori (Hardware/Software) dan hasil diagnosa terlihat kontras dan mudah dibaca.",Linear Scale 1-5,"Tampilan Antarmuka (UI/UX)"
"P6. Sistem pakar ini mudah dioperasikan tanpa memerlukan pelatihan yang rumit.",Linear Scale 1-5,"Kemudahan Penggunaan (Usability)"
"P7. Pembagian gejala berdasarkan kelompok masalah mempermudah saya dalam menemukan gejala kerusakan.",Linear Scale 1-5,"Kemudahan Penggunaan (Usability)"
"P8. Fitur pencarian kata kunci (search bar) membantu menemukan gejala dengan cepat.",Linear Scale 1-5,"Kemudahan Penggunaan (Usability)"
"P9. Pengguna dapat membatalkan atau mereset pilihan gejala dengan mudah.",Linear Scale 1-5,"Kemudahan Penggunaan (Usability)"
"P10. Instruksi dan alur pencabangan turunan gejala pada chatbot sangat jelas dan mudah diikuti.",Linear Scale 1-5,"Kemudahan Penggunaan (Usability)"
"P11. Pengkategorian hasil kerusakan menjadi Hardware dan Software berjalan dengan akurat.",Linear Scale 1-5,"Kesesuaian Fitur (Functionality)"
"P12. Fitur riwayat diagnosa mampu menyimpan log diagnosa secara rinci dan lengkap.",Linear Scale 1-5,"Kesesuaian Fitur (Functionality)"
"P13. Fitur ekspor/cetak laporan dapat menghasilkan dokumen laporan yang rapi dan sesuai format.",Linear Scale 1-5,"Kesesuaian Fitur (Functionality)"
"P14. Mesin inferensi Forward Chaining mampu memproses kombinasi gejala tunggal maupun jamak secara konsisten.",Linear Scale 1-5,"Kesesuaian Fitur (Functionality)"
"P15. Sistem secara tepat menampilkan status 'Kerusakan Tidak Teridentifikasi' jika kombinasi gejala tidak memiliki rule.",Linear Scale 1-5,"Kesesuaian Fitur (Functionality)"
"P16. Kecepatan sistem dalam memproses input gejala hingga menghasilkan diagnosa sangat cepat.",Linear Scale 1-5,"Kecepatan & Kinerja (Performance)"
"P17. Aplikasi web dapat diakses dengan lancar tanpa terjadi lag, freeze, atau crash.",Linear Scale 1-5,"Kecepatan & Kinerja (Performance)"
"P18. Proses cetak/ekspor laporan ke bentuk cetak/PDF berlangsung singkat dan responsif.",Linear Scale 1-5,"Kecepatan & Kinerja (Performance)"
"P19. Sistem dapat membuka dan menampilkan modal rincian gejala riwayat dengan cepat.",Linear Scale 1-5,"Kecepatan & Kinerja (Performance)"
"P20. Respon perpindahan halaman dan pemfilteran tanggal laporan berlangsung secara instan.",Linear Scale 1-5,"Kecepatan & Kinerja (Performance)"
"P21. Hasil diagnosa kerusakan dan langkah solusi perbaikan yang diberikan sistem jelas dan bermanfaat.",Linear Scale 1-5,"Kebermanfaatan & Dampak (Utility & Value)"
"P22. Sistem ini dapat digunakan sebagai media pembelajaran troubleshooting komputer bagi asisten lab.",Linear Scale 1-5,"Kebermanfaatan & Dampak (Utility & Value)"
"P23. Penerapan sistem pakar ini efektif mengurangi ketergantungan terhadap teknisi dari luar.",Linear Scale 1-5,"Kebermanfaatan & Dampak (Utility & Value)"
"P24. Dokumentasi hasil diagnosa terstruktur rapi untuk mendukung perawatan komputer berkala.",Linear Scale 1-5,"Kebermanfaatan & Dampak (Utility & Value)"
"P25. Secara keseluruhan, sistem pakar ini sangat layak direkomendasikan untuk digunakan di laboratorium komputer.",Linear Scale 1-5,"Kebermanfaatan & Dampak (Utility & Value)"
